Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
2015-01-01,1,January,2015,36,Adults (35-64),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,1008,1266,2274
2015-01-01,1,January,2015,29,Young Adults (25-34),Female,United States,Florida,Bikes,Road Bikes,"Road-650 Red, 62",3,487,783,771,1461,2232
2015-01-01,1,January,2015,29,Young Adults (25-34),Male,United States,Oregon,Bikes,Road Bikes,"Road-650 Black, 44",1,487,783,186,487,673
2015-01-02,2,January,2015,28,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1335,2171,3506
2015-01-03,3,January,2015,30,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-650 Black, 58",3,487,783,841,1461,2302
2015-01-04,4,January,2015,44,Adults (35-64),Male,United States,Washington,Bikes,Mountain Bikes,"Mountain-500 Black, 44",2,295,540,252,590,842
2015-01-05,5,January,2015,41,Adults (35-64),Female,United States,California,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",1,308,565,246,308,554
2015-01-07,7,January,2015,29,Young Adults (25-34),Female,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,387,1519,1906
2015-01-08,8,January,2015,62,Adults (35-64),Male,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,722,1252,1974
2015-01-08,8,January,2015,30,Young Adults (25-34),Female,United States,Washington,Bikes,Road Bikes,"Road-650 Red, 58",1,487,783,124,487,611
2015-01-08,8,January,2015,32,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",3,487,783,841,1461,2302
2015-01-09,9,January,2015,25,Young Adults (25-34),Male,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 44",2,713,1120,500,1426,1926
2015-01-09,9,January,2015,19,Youth (<25),Male,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",3,420,769,1001,1260,2261
2015-01-09,9,January,2015,24,Youth (<25),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274
2015-01-09,9,January,2015,61,Adults (35-64),Male,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,1008,1266,2274
2015-01-10,10,January,2015,27,Young Adults (25-34),Male,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,620,2171,2791
2015-01-10,10,January,2015,26,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1335,2171,3506
2015-01-11,11,January,2015,40,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443,839,1555,2394
